reduced_directorate,accuracy,precision,recall,f1,count
ENG,0.9172932330827067,0.9094739530132788,0.9049242424242425,0.9071288008633276,133
SBE,0.8910891089108911,0.8905982905982905,0.8779983457402811,0.8833595800524935,101
other,0.8705357142857143,0.8620660599932592,0.8636902242911553,0.8628581079654611,224
MPS,0.920704845814978,0.8690856777493606,0.7775240384615385,0.8138072453861928,454
BIO,0.7956204379562044,0.7703252032520325,0.7570048309178744,0.7627412172191984,137
CISE,0.9380530973451328,0.8531909418425115,0.7132038834951456,0.7618302039046598,565
